LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,School_Framework,Framework_Weight,Framework_Points_Earned,Framework_Points_Possible,Framework_STAR_Score,Framework_STAR_Rating,ObjectId
1,District of Columbia Public Schools,296,Bruce-Monroe Elementary School @ Park View,DCPS,1,Elementary School with Pre-Kindergarten,100,49.24,100,49.24,3,235
1,District of Columbia Public Schools,299,Plummer Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,45.35,100,45.35,3,236
1,District of Columbia Public Schools,300,Powell Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,59.92,100,59.92,3,237
1,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,58.61,52.03,100,52.03,3,238
1,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,Middle School,41.39,69.16,100,69.16,4,239
1,District of Columbia Public Schools,305,Ross Elementary School,DCPS,2,Elementary School with Pre-Kindergarten,100,58.37,80,72.96,4,240
1,District of Columbia Public Schools,307,Savoy Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,24.78,85,29.16,2,241
1,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,DCPS,8,Elementary School with Pre-Kindergarten,100,39.44,95,41.51,3,242
1,District of Columbia Public Schools,309,Seaton Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,46.54,100,46.54,3,243
1,District of Columbia Public Schools,313,Shepherd Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,64.02,95,67.39,4,244
1,District of Columbia Public Schools,315,Simon Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,38.12,95,40.12,3,245
1,District of Columbia Public Schools,316,Randle Highlands Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,19.93,95,20.98,2,246
1,District of Columbia Public Schools,319,Stanton Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,19.68,95,20.72,2,247
1,District of Columbia Public Schools,321,Stoddert Elementary School,DCPS,3,Elementary School with Pre-Kindergarten,100,67.11,85,78.95,4,248
